"","File","ID","zen","zen0","alpha_mean","alpha_sd"
"1","GLS11 D05 B70.lux","GLS11 D05 B70",94.138523449994,95.1053384639758,0.838648796731122,0.158923224176506
"2","GLS20 D13 B81.lux","GLS20 D13 B81",94.3888151452582,97.7925874540208,1.53871439984301,0.0874840169621203
"3","GLS37 D15 B83.lux","GLS37 D15 B83",94.4416461655847,96.5927160018012,1.98277870954654,0.159301434780467
"4","GLS38 D17 B93.lux","GLS38 D17 B93",94.3402648721021,96.3456376871881,1.34814203154106,0.12553491271061
"5","GLS55 D23 B79.lux","GLS55 D23 B79",94.2256016981934,96.3803486281195,1.39273567364694,0.133285693294129
"6","GLS57 D25 B81.lux","GLS57 D25 B81",94.5092659098836,96.6865971607451,0.965356545286628,0.0864669913682712
"7","GLS59 D26 B64.lux","GLS59 D26 B64",93.2069025068789,96.5548734633074,1.21087364752624,0.0751887668743411
"8","GLS60 D27 B67.lux","GLS60 D27 B67",93.7550424060436,96.9105166720683,1.33157853338129,0.0872439688323912
"9","GLS62 D30 B70.lux","GLS62 D30 B70",94.1531944931567,96.7780030469259,1.2133771781372,0.0909155963333394
"10","GLS8 D02 B67.lux","GLS8 D02 B67",93.0432257420093,104.683395076306,0.887732384491962,0.0147396707987585
